"priority_rank","ignore_rank","warehouse","category","priority_score","completed_stays","historical_long_stays","historical_long_stay_rate_pct","open_stays","open_long_stays","open_long_stay_rate_pct","max_open_dwell_hours"
NULL,1,"siticsbangarpetodh_bng bangarpet","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"siticschitturodh_cht chittur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"siticsgokakodh_gkk","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"siticsgokakodh_gkk gokak","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"siticskairoliodh_kar agra","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"siticskaranjiaodh_krn karanjia","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"siticskhadoorsahibmdh_kds gurdaspur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"siticskhandagirispiltodh_bbi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"siticskhandagirispiltodh_bbi bhubaneswar","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"siticskundaraodh_kdr","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"siticskundaraodh_kdr kundara","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"siticsmarthandamodh_mtm marthandam","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"siticsmejakhasodh_mjk allahabad","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"siticsmotihaodh_mti allahabad","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"siticsmukkamodh_mkm mukkam","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"siticsnagapattinamodh_ngp nagapattinam","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"siticsnawabganjodh_nwb allahabad","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"siticsportblairodh_pbr haddo","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"siticstarntaranodh_trn amritsar","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"siticsthazhechovvaodh_tcv","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"siticsthazhechovvaodh_tcv kannur","Ignore",0.00,4,0,0.00,1,0,0.00,15.44
NULL,1,"siuri","Ignore",0.00,1,0,0.00,2,0,0.00,14.80
NULL,1,"siurihub_sur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"siurihub_sur siuri","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sivaganga","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sivagangai","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"sivagangaihub_sai","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sivagangaihub_sai sivagangai","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sivakasi","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"sivakasi hub sivakasi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sivsagar, sivsagar, assam","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"siwan","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"siwanhub_swn siwan","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"sixmile hub guwahati","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"smgd","Ignore",0.00,11,0,0.00,22,0,0.00,33.26
NULL,1,"snahasis samal paradip","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sodepur hub kolkata","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"sohail khan khandwa","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"sohal traders amritsar","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"soham patel kirana surat","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sohan singh general kirana new delhi","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"sohna","Ignore",0.00,41,0,0.00,0,0,0.00,0.00
NULL,1,"solan","Ignore",0.00,10,0,0.00,1,0,0.00,17.80
NULL,1,"solanhub_sln solan","Ignore",0.00,5,0,0.00,0,0,0.00,0.00
NULL,1,"solapur","Ignore",0.00,11,0,0.00,6,0,0.00,14.62
NULL,1,"solapur air hub","Ignore",0.00,76,0,0.00,3,0,0.00,23.37
NULL,1,"solapur hub","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"solapur hub solapur","Ignore",0.00,10,0,0.00,0,0,0.00,0.00
NULL,1,"solutions point new delhi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"somajiguda","Ignore",0.00,3,0,0.00,1,0,0.00,15.27
NULL,1,"somatane phata hub","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"somatane phata hub pune","Ignore",0.00,7,0,0.00,0,0,0.00,0.00
NULL,1,"somavaram village","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"somesarmdh_jdh jodhpur","Ignore",0.00,2,0,0.00,1,0,0.00,14.05
NULL,1,"sompetahub_smt srikakulam","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"son and w nashik","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sonada","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"sonadamdh_son sonada","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"sonai","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"sonaimukh, sonaimukh, assam","Ignore",0.00,0,0,0.00,2,0,0.00,35.33
NULL,1,"sonali sonu malgunkar mumbai","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sonam sharma gautam buddha nagar","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sonari","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sonbhadrahub_son sonbhadra","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sonepat hub sonipat","Ignore",0.00,8,0,0.00,0,0,0.00,0.00
NULL,1,"songadh","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sonipat","Ignore",0.00,8,0,0.00,1,0,0.00,19.17
NULL,1,"sonipat /murthal","Ignore",0.00,2,0,0.00,1,0,0.00,22.23
NULL,1,"sonu accupressure physiotherapy bathinda","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sonu kirana store new delhi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sonu kumar gurgaon","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"soro","Ignore",0.00,1,0,0.00,1,0,0.00,15.60
NULL,1,"soukya etail cpu","Ignore",0.00,12,0,0.00,0,0,0.00,0.00
NULL,1,"soukya road","Ignore",0.00,3,0,0.00,1,0,0.00,38.65
NULL,1,"southtukoganjhub_idr","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"southtukoganjhub_idr indore","Ignore",0.00,6,0,0.00,0,0,0.00,0.00
NULL,1,"speeder couriers powerflex alappuzha","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sreerag home alappuzha","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sri devi auto consultant & travels krishnagiri","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sri ganganagar","Ignore",0.00,3,0,0.00,1,0,0.00,27.41
NULL,1,"sri muthalamman leath works dindigul","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sriganganagar","Ignore",0.00,28,0,0.00,20,0,0.00,27.63
NULL,1,"sriganganagar hub","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"sriganganagar hub sri ganganagar","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"sriganganagar, sriganganagar, rajasthan","Ignore",0.00,0,0,0.00,3,0,0.00,38.88
NULL,1,"srikakulam","Ignore",0.00,7,0,0.00,0,0,0.00,0.00
NULL,1,"srikakulam - che","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"srikakulam, srikakulam, andhra pradesh","Ignore",0.00,2,0,0.00,1,0,0.00,18.69
NULL,1,"srikakulamhub_skm srikakulam","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"srikalahastihub_skh tirupati","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"srikanth water supply bangalore","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"srikrishna basak home raiganj","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"srikshetraodh_pur puri","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"srinagar, jammu and kashmir, in","Ignore",0.00,1,0,0.00,1,0,0.00,14.74
NULL,1,"srinagargarhwal, srinagar garhwal, uttarakhand","Ignore",0.00,0,0,0.00,1,0,0.00,28.77
NULL,1,"srinagarhub_srg","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"srinagarhub_srg srinagar","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"srinagarhubtemp_srg","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"srinagarhubtemp_srg srinagar","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"srinagarkahub_blr bengaluru","Ignore",0.00,4,0,0.00,1,0,0.00,14.84
NULL,1,"srinagarukhub_sri srinagar","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"sripur bazar, asansol, west bengal","Ignore",0.00,0,0,0.00,1,0,0.00,14.42
NULL,1,"srirangapatna","Ignore",0.00,2,0,0.00,1,0,0.00,25.20
NULL,1,"srirangapatnahub_srp srirangapatna","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"srivilliputhurhub_svpr virudhunagar","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
